CardKey,ClientID,CardBrand,CardType,HasChip,CreditLimit,CreditLimitBand,CreditLimitBandSort,AccountOpened,AccountOpenedYear,CardsIssued,PinLastChanged
3,1937,Visa,Credit,Chip,16400.0,$10k-$25k,2,1995-01-01,1995,2,2015
37,840,Mastercard,Debit,Chip,5269.0,$1k-$10k,1,2003-01-01,2003,2,2016
48,1695,Amex,Credit,Chip,4100.0,$1k-$10k,1,2004-01-01,2004,2,2004
50,994,Mastercard,Credit,Chip,6000.0,$1k-$10k,1,2004-01-01,2004,2,2010
58,241,Mastercard,Debit,Chip,12861.0,$10k-$25k,2,2004-01-01,2004,2,2008
67,1296,Mastercard,Credit,Chip,15500.0,$10k-$25k,2,2005-01-01,2005,2,2014
69,826,Mastercard,Credit,Chip,13900.0,$10k-$25k,2,2005-01-01,2005,1,2012
78,1514,Mastercard,Debit,Chip,1846.0,$1k-$10k,1,2005-01-01,2005,1,2005
80,1296,Visa,Debit (Prepaid),Chip,13.0,Under $1k,0,2005-01-01,2005,1,2008
92,1130,Amex,Credit,Chip,13500.0,$10k-$25k,2,2006-01-01,2006,1,2010
96,81,Mastercard,Credit,No chip,0.0,Under $1k,0,2006-01-01,2006,2,2012
110,103,Visa,Debit,Chip,20549.0,$10k-$25k,2,2006-01-01,2006,2,2007
114,1695,Visa,Debit,Chip,2851.0,$1k-$10k,1,2006-01-01,2006,3,2007
123,280,Amex,Credit,Chip,13600.0,$10k-$25k,2,2007-01-01,2007,1,2009
149,303,Amex,Credit,No chip,14500.0,$10k-$25k,2,2008-01-01,2008,1,2011
152,140,Mastercard,Debit,Chip,13441.0,$10k-$25k,2,2008-01-01,2008,1,2011
154,1009,Mastercard,Credit,Chip,8500.0,$1k-$10k,1,2008-01-01,2008,1,2009
156,1300,Mastercard,Credit,Chip,4900.0,$1k-$10k,1,2008-01-01,2008,1,2011
159,154,Mastercard,Debit,Chip,12557.0,$10k-$25k,2,2008-01-01,2008,2,2013
165,1807,Mastercard,Debit (Prepaid),Chip,89.0,Under $1k,0,2008-01-01,2008,1,2015
170,1370,Mastercard,Debit,Chip,10471.0,$10k-$25k,2,2008-01-01,2008,2,2010
172,1284,Mastercard,Debit,Chip,9789.0,$1k-$10k,1,2008-01-01,2008,2,2009
174,217,Visa,Debit,Chip,22746.0,$10k-$25k,2,2008-01-01,2008,2,2010
178,1666,Visa,Debit,Chip,17405.0,$10k-$25k,2,2008-01-01,2008,1,2012
187,1535,Visa,Debit,Chip,17231.0,$10k-$25k,2,2008-01-01,2008,1,2008
190,1995,Amex,Credit,No chip,9700.0,$1k-$10k,1,2009-01-01,2009,2,2009
191,1091,Amex,Credit,No chip,17800.0,$10k-$25k,2,2009-01-01,2009,2,2009
195,1133,Mastercard,Debit (Prepaid),Chip,69.0,Under $1k,0,2009-01-01,2009,2,2013
199,658,Mastercard,Debit,Chip,22742.0,$10k-$25k,2,2009-01-01,2009,2,2009
204,738,Mastercard,Debit,Chip,21997.0,$10k-$25k,2,2009-01-01,2009,1,2011
207,217,Visa,Credit,Chip,8200.0,$1k-$10k,1,2009-01-01,2009,2,2011
215,801,Visa,Credit,Chip,8600.0,$1k-$10k,1,2009-01-01,2009,1,2010
217,895,Visa,Credit,Chip,10300.0,$10k-$25k,2,2009-01-01,2009,1,2013
226,729,Mastercard,Debit,Chip,23039.0,$10k-$25k,2,2010-01-01,2010,2,2010
258,209,Visa,Credit,Chip,8700.0,$1k-$10k,1,2010-01-01,2010,2,2010
265,37,Discover,Credit,Chip,0.0,Under $1k,0,2011-01-01,2011,1,2011
270,103,Mastercard,Debit,Chip,15023.0,$10k-$25k,2,2011-01-01,2011,1,2011
274,1695,Mastercard,Debit,Chip,20838.0,$10k-$25k,2,2011-01-01,2011,2,2011
277,1730,Mastercard,Debit,Chip,25429.0,$25k-$50k,3,2011-01-01,2011,1,2011
284,636,Visa,Debit,Chip,12057.0,$10k-$25k,2,2011-01-01,2011,1,2018
286,764,Visa,Debit,Chip,16109.0,$10k-$25k,2,2011-01-01,2011,1,2011
