GeoKey,Location,LocationType,StateCode,Country
1,Alaska,US state,AK,United States
2,Alabama,US state,AL,United States
3,Arkansas,US state,AR,United States
4,Arizona,US state,AZ,United States
5,Argentina,International,,Argentina
6,Aruba,International,,Aruba
7,Australia,International,,Australia
8,Austria,International,,Austria
9,Azerbaijan,International,,Azerbaijan
10,Bangladesh,International,,Bangladesh
11,Barbados,International,,Barbados
12,Brazil,International,,Brazil
13,California,US state,CA,United States
14,Colorado,US state,CO,United States
15,Connecticut,US state,CT,United States
16,Canada,International,,Canada
17,China,International,,China
18,Colombia,International,,Colombia
19,Costa Rica,International,,Costa Rica
20,Croatia,International,,Croatia
21,Czech Republic,International,,Czech Republic
22,District of Columbia,US state,DC,United States
23,Delaware,US state,DE,United States
24,Denmark,International,,Denmark
25,Dominican Republic,International,,Dominican Republic
26,Egypt,International,,Egypt
27,Equatorial Guinea,International,,Equatorial Guinea
28,Estonia,International,,Estonia
29,Florida,US state,FL,United States
30,Finland,International,,Finland
31,France,International,,France
32,Georgia,US state,GA,United States
33,Georgia,International,,Georgia
34,Germany,International,,Germany
35,Ghana,International,,Ghana
36,Greece,International,,Greece
37,Hawaii,US state,HI,United States
38,Haiti,International,,Haiti
39,Hong Kong,International,,Hong Kong
40,Hungary,International,,Hungary
41,Iowa,US state,IA,United States
42,Idaho,US state,ID,United States
43,Illinois,US state,IL,United States
44,Indiana,US state,IN,United States
45,Iceland,International,,Iceland
46,India,International,,India
47,Indonesia,International,,Indonesia
48,Ireland,International,,Ireland
49,Israel,International,,Israel
50,Italy,International,,Italy
51,Jamaica,International,,Jamaica
52,Japan,International,,Japan
53,Kansas,US state,KS,United States
54,Kentucky,US state,KY,United States
55,Kenya,International,,Kenya
56,Louisiana,US state,LA,United States
57,Latvia,International,,Latvia
58,Luxembourg,International,,Luxembourg
59,Massachusetts,US state,MA,United States
60,Maryland,US state,MD,United States
61,Maine,US state,ME,United States
62,Michigan,US state,MI,United States
63,Minnesota,US state,MN,United States
64,Missouri,US state,MO,United States
65,Mississippi,US state,MS,United States
66,Montana,US state,MT,United States
67,Macedonia,International,,Macedonia
68,Malaysia,International,,Malaysia
69,Maldives,International,,Maldives
70,Malta,International,,Malta
71,Mexico,International,,Mexico
72,Monaco,International,,Monaco
73,North Carolina,US state,NC,United States
74,North Dakota,US state,ND,United States
75,Nebraska,US state,NE,United States
76,New Hampshire,US state,NH,United States
77,New Jersey,US state,NJ,United States
78,New Mexico,US state,NM,United States
79,Nevada,US state,NV,United States
80,New York,US state,NY,United States
81,Netherlands,International,,Netherlands
82,Niger,International,,Niger
83,Norway,International,,Norway
84,Not recorded,Not recorded,,
85,Ohio,US state,OH,United States
86,Oklahoma,US state,OK,United States
87,Oregon,US state,OR,United States
88,Online,Online,,United States
89,Pennsylvania,US state,PA,United States
90,Pakistan,International,,Pakistan
91,Peru,International,,Peru
92,Philippines,International,,Philippines
93,Poland,International,,Poland
94,Portugal,International,,Portugal
95,Rhode Island,US state,RI,United States
96,Romania,International,,Romania
97,Russia,International,,Russia
98,South Carolina,US state,SC,United States
99,South Dakota,US state,SD,United States
100,Samoa,International,,Samoa
101,Saudi Arabia,International,,Saudi Arabia
102,Singapore,International,,Singapore
103,South Africa,International,,South Africa
104,South Korea,International,,South Korea
105,Spain,International,,Spain
106,Sweden,International,,Sweden
107,Switzerland,International,,Switzerland
108,Tennessee,US state,TN,United States
109,Texas,US state,TX,United States
110,Taiwan,International,,Taiwan
111,Thailand,International,,Thailand
112,The Bahamas,International,,The Bahamas
113,Turkey,International,,Turkey
114,Utah,US state,UT,United States
115,Ukraine,International,,Ukraine
116,United Arab Emirates,International,,United Arab Emirates
117,United Kingdom,International,,United Kingdom
118,Virginia,US state,VA,United States
119,Vermont,US state,VT,United States
120,Vatican City,International,,Vatican City
121,Vietnam,International,,Vietnam
122,Washington,US state,WA,United States
123,Wisconsin,US state,WI,United States
124,West Virginia,US state,WV,United States
125,Wyoming,US state,WY,United States
