Date,Hour,ClientKey,CardKey,MCC,ChannelKey,OutcomeKey,GeoKey,FraudKey,Amount
2011-01-01,0,1535,187,5411,1,0,85,1,41.23
2011-01-01,0,32,1087,5921,1,0,43,1,7.66
2011-01-01,0,652,2502,4814,1,0,15,1,108.76
2011-01-01,0,1184,2898,4900,3,0,88,1,63.36
2011-01-01,0,432,4301,5300,1,0,73,0,9.03
2011-01-01,0,652,4328,5814,1,0,15,1,2.97
2011-01-01,0,110,4756,5300,1,0,109,0,18.84
2011-01-01,0,1302,5632,4814,3,0,88,1,49.74
2011-01-01,0,1369,5792,5815,3,0,88,1,16.7
2011-01-01,1,1807,165,5411,1,0,80,0,4.83
2011-01-01,2,1425,2851,4784,3,1,88,1,25.85
2011-01-01,2,140,4150,5812,1,0,108,1,3.0
2011-01-01,2,1514,4679,5411,1,0,85,1,13.82
2011-01-01,2,1425,5929,4784,3,0,88,1,15.27
2011-01-01,3,895,3483,5310,1,0,13,1,36.1
2011-01-01,3,1030,3828,5912,1,0,87,1,4.38
2011-01-01,4,1917,2129,4899,3,0,88,0,86.66
2011-01-01,4,662,2638,7349,3,0,88,0,63.75
2011-01-01,4,1184,2898,5813,1,0,13,0,33.75
2011-01-01,4,20,3895,5411,1,0,109,0,3.01
2011-01-01,5,402,2536,5812,1,0,32,1,1.22
2011-01-01,5,432,2646,4814,3,0,88,1,62.55
2011-01-01,5,679,2894,5411,1,0,89,1,2.84
2011-01-01,5,1184,2898,5813,1,0,13,1,37.35
2011-01-01,5,994,3904,5411,1,0,77,1,9.24
2011-01-01,5,921,4646,7995,1,0,80,1,385.05
2011-01-01,5,1487,4946,5814,1,0,118,1,99.04
2011-01-01,5,437,5186,4814,1,0,60,0,10.95
2011-01-01,6,679,2894,5411,1,0,89,0,3.02
2011-01-01,6,515,3235,5812,1,0,109,1,6.14
2011-01-01,6,996,3310,5411,1,0,29,1,1.33
2011-01-01,6,1091,3334,5814,1,0,60,0,6.37
2011-01-01,6,1219,3466,7538,1,0,118,1,91.22
