"DATABASE_NAME","CUBE_NAME","MEASURE_GROUP_NAME","PARTITION_NAME","DIMENSION_NAME","TABLE_ID","COLUMN_ID","SEGMENT_NUMBER","TABLE_PARTITION_NUMBER","RECORDS_COUNT","ALLOCATED_SIZE","USED_SIZE","COMPRESSION_TYPE","BITS_COUNT","BOOKMARK_BITS_COUNT","VERTIPAQ_STATE","ISPAGEABLE","ISRESIDENT","TEMPERATURE","LAST_ACCESSED"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Transactions","Transactions (10)","RowNumber 2662979B 1795 4F74 8F37 6A1BA8059B61 (11)","0","0","1682640","128","128","C123","0","0","SKIPPED",,,,
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Transactions","Transactions (10)","Transaction ID (13)","0","0","1682640","4487176","4487176","NOSPLIT","21","0","COMPLETED",,,,
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Transactions","Transactions (10)","Timestamp (14)","0","0","1682640","4487176","4487176","NOSPLIT","21","0","COMPLETED",,,,
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Transactions","Transactions (10)","Client ID (15)","0","0","1682640","427752","427752","NOSPLIT","8","3739","COMPLETED",,,,
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Transactions","Transactions (10)","Card ID (16)","0","0","1682640","711856","711856","NOSPLIT","10","3789","COMPLETED",,,,
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Transactions","Transactions (10)","Amount (17)","0","0","1682640","4372696","4372696","NOSPLIT","21","168","COMPLETED",,,,
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Transactions","Transactions (10)","Channel (18)","0","0","1682640","15072","15072","NOSPLIT","2","572","COMPLETED",,,,
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Transactions","Transactions (10)","Merchant ID (19)","0","0","1682640","1672696","1672696","NOSPLIT","16","2501","COMPLETED",,,,
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Transactions","Transactions (10)","Merchant City (20)","0","0","1682640","1079392","1079392","NOSPLIT","16","3413","COMPLETED",,,,
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Transactions","Transactions (10)","Merchant State (21)","0","0","1682640","302424","302424","NOSPLIT","7","2817","COMPLETED",,,,
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Transactions","Transactions (10)","Merchant Zip (22)","0","0","1682640","1173016","1173016","NOSPLIT","16","3437","COMPLETED",,,,
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Transactions","Transactions (10)","MCC (23)","0","0","1682640","660320","660320","NOSPLIT","7","1910","COMPLETED",,,,
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Transactions","Transactions (10)","Errors (24)","0","0","1682640","1288","1288","NOSPLIT","5","13","COMPLETED",,,,
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Transactions","Transactions (10)","Fraud Label (25)","0","0","1682640","8704","8704","NOSPLIT","2","306","COMPLETED",,,,
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Transactions","Transactions (10)","Merchant Category (26)","0","0","1682640","660320","660320","NOSPLIT","7","1910","COMPLETED",,,,
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Transactions","Transactions (10)","Card Brand (27)","0","0","1682640","37776","37776","NOSPLIT","2","986","COMPLETED",,,,
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Transactions","Transactions (10)","Card Type (28)","0","0","1682640","9536","9536","NOSPLIT","2","315","COMPLETED",,,,
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Transactions","Transactions (10)","Card Has Chip (29)","0","0","1682640","22768","22768","NOSPLIT","1","1155","COMPLETED",,,,
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Transactions","Transactions (10)","Card Credit Limit (30)","0","0","1682640","616216","616216","NOSPLIT","9","3765","COMPLETED",,,,
