"DATABASE_NAME","CUBE_NAME","MEASURE_GROUP_NAME","DIMENSION_NAME","TABLE_ID","TABLE_PARTITIONS_COUNT","HINT_TABLE_TYPE","ROWS_COUNT","RIVIOLATION_COUNT"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Transactions (10)","1","AUTOMATIC","1682640","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","H$Transactions (10)$Transaction ID (13)","1","AUTOMATIC","1682643","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","H$Transactions (10)$Merchant State (21)","1","AUTOMATIC","127","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","H$Transactions (10)$Card Brand (27)","1","AUTOMATIC","7","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","H$Transactions (10)$Client Cards Held (38)","1","AUTOMATIC","11","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","H$Transactions (10)$Client Gender (34)","1","AUTOMATIC","5","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","H$Transactions (10)$Errors (24)","1","AUTOMATIC","23","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","H$Transactions (10)$Client Yearly Income (35)","1","AUTOMATIC","163","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","H$Transactions (10)$Card ID (16)","1","AUTOMATIC","578","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","H$Transactions (10)$Card Has Chip (29)","1","AUTOMATIC","5","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","H$Transactions (10)$Merchant City (20)","1","AUTOMATIC","6944","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","H$Transactions (10)$Card Credit Limit (30)","1","AUTOMATIC","501","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","H$Transactions (10)$Timestamp (14)","1","AUTOMATIC","1365225","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","H$Transactions (10)$Merchant Zip (22)","1","AUTOMATIC","13181","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","H$Transactions (10)$Client Credit Score (37)","1","AUTOMATIC","114","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","H$Transactions (10)$MCC (23)","1","AUTOMATIC","112","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","H$Transactions (10)$Client Total Debt (36)","1","AUTOMATIC","160","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","H$Transactions (10)$Client ID (15)","1","AUTOMATIC","163","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","H$Transactions (10)$Cards Issued (32)","1","AUTOMATIC","6","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","H$Transactions (10)$Card Account Opened (31)","1","AUTOMATIC","195","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","H$Transactions (10)$Fraud Label (25)","1","AUTOMATIC","6","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","H$Transactions (10)$Client Age (33)","1","AUTOMATIC","63","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","H$Transactions (10)$Merchant ID (19)","1","AUTOMATIC","18003","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","H$Transactions (10)$Channel (18)","1","AUTOMATIC","6","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","H$Transactions (10)$Amount (17)","1","AUTOMATIC","40375","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","H$Transactions (10)$Merchant Category (26)","1","AUTOMATIC","111","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","H$Transactions (10)$Card Type (28)","1","AUTOMATIC","6","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","H$Transactions (10)$Is Fraud (43)","1","AUTOMATIC","5","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","H$Transactions (10)$Is Approved (41)","1","AUTOMATIC","5","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","H$Transactions (10)$Year (39)","1","AUTOMATIC","13","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","H$Transactions (10)$Spend Amount (42)","1","AUTOMATIC","40236","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","H$Transactions (10)$Month Year (40)","1","AUTOMATIC","121","0"
