"DATABASE_NAME","CUBE_NAME","MEASURE_GROUP_NAME","DIMENSION_NAME","ATTRIBUTE_NAME","TABLE_ID","COLUMN_ID","COLUMN_TYPE","COLUMN_ENCODING","DATATYPE","ISKEY","ISUNIQUE","ISNULLABLE","ISROWNUMBER","DICTIONARY_SIZE","DICTIONARY_ISPAGEABLE","DICTIONARY_ISRESIDENT","DICTIONARY_TEMPERATURE","DICTIONARY_LAST_ACCESSED","STRING_INDEX_SIZE","FULLTEXT_INDEX_SIZE"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61","Date (10)","RowNumber 2662979B 1795 4F74 8F37 6A1BA8059B61 (11)","BASIC_DATA","2","DBTYPE_I8","False","True","False","True","144",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","Date","Date (10)","Date (48)","BASIC_DATA","1","DBTYPE_DATE","True","True","False","False","170616",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","Year","Date (10)","Year (49)","BASIC_DATA","1","DBTYPE_I8","False","False","True","False","1336",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","Quarter","Date (10)","Quarter (50)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","1065680",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","Quarter Year","Date (10)","Quarter Year (51)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","18032",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","Quarter Year Sort","Date (10)","Quarter Year Sort (52)","BASIC_DATA","1","DBTYPE_I8","False","False","True","False","1456",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","Month No","Date (10)","Month No (53)","BASIC_DATA","1","DBTYPE_I8","False","False","True","False","1344",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","Month","Date (10)","Month (54)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","17340",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","Month Short","Date (10)","Month Short (55)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","17264",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","Month Year","Date (10)","Month Year (56)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","20140",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","Month Year Sort","Date (10)","Month Year Sort (57)","BASIC_DATA","1","DBTYPE_I8","False","False","True","False","2792",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","Month Start","Date (10)","Month Start (58)","BASIC_DATA","1","DBTYPE_DATE","False","False","True","False","5284",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","Day of Week","Date (10)","Day of Week (59)","BASIC_DATA","1","DBTYPE_I8","False","False","True","False","1324",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","Day","Date (10)","Day (60)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","17242",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","Is Weekend","Date (10)","Is Weekend (61)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","1065664",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","In Like For Like Period","Date (10)","In Like For Like Period (62)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","1065664",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","Is Complete Year","Date (10)","Is Complete Year (63)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","1065664",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61","Client (13)","RowNumber 2662979B 1795 4F74 8F37 6A1BA8059B61 (14)","BASIC_DATA","2","DBTYPE_I8","False","True","False","True","144",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","Client","Client (13)","Client (64)","BASIC_DATA","1","DBTYPE_I8","True","True","False","False","5016",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","Gender","Client (13)","Gender (65)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","1065664",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","Age","Client (13)","Age (66)","BASIC_DATA","2","DBTYPE_I8","False","False","True","False","144",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","Age Band","Client (13)","Age Band (67)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","17174",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","Age Band Sort","Client (13)","Age Band Sort (68)","BASIC_DATA","1","DBTYPE_I8","False","False","True","False","1316",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","Birth Year","Client (13)","Birth Year (69)","BASIC_DATA","2","DBTYPE_I8","False","False","True","False","144",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","Retirement Age","Client (13)","Retirement Age (70)","BASIC_DATA","2","DBTYPE_I8","False","False","True","False","144",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","Yearly Income","Client (13)","Yearly Income (71)","BASIC_DATA","2","DBTYPE_R8","False","False","True","False","144",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","Income Band","Client (13)","Income Band (72)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","17210",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","Income Band Sort","Client (13)","Income Band Sort (73)","BASIC_DATA","1","DBTYPE_I8","False","False","True","False","1316",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","Per Capita Income","Client (13)","Per Capita Income (74)","BASIC_DATA","2","DBTYPE_R8","False","False","True","False","144",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","Total Debt","Client (13)","Total Debt (75)","BASIC_DATA","2","DBTYPE_R8","False","False","True","False","144",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","Debt to Income","Client (13)","Debt to Income (76)","BASIC_DATA","2","DBTYPE_R8","False","False","True","False","144",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","Credit Score","Client (13)","Credit Score (77)","BASIC_DATA","2","DBTYPE_I8","False","False","True","False","144",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","Credit Score Band","Client (13)","Credit Score Band (78)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","17274",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","Credit Score Band Sort","Client (13)","Credit Score Band Sort (79)","BASIC_DATA","1","DBTYPE_I8","False","False","True","False","1316",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","Cards Held","Client (13)","Cards Held (80)","BASIC_DATA","2","DBTYPE_I8","False","False","True","False","144",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Card","Card","RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61","Card (16)","RowNumber 2662979B 1795 4F74 8F37 6A1BA8059B61 (17)","BASIC_DATA","2","DBTYPE_I8","False","True","False","True","144",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Card","Card","Card","Card (16)","Card (81)","BASIC_DATA","1","DBTYPE_I8","True","True","False","False","19256",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Card","Card","Client Key","Card (16)","Client Key (82)","BASIC_DATA","2","DBTYPE_I8","False","False","True","False","144",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Card","Card","Card Brand","Card (16)","Card Brand (83)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","1065680",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Card","Card","Card Type","Card (16)","Card Type (84)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","1065672",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Card","Card","Chip","Card (16)","Chip (85)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","1065664",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Card","Card","Credit Limit","Card (16)","Credit Limit (86)","BASIC_DATA","2","DBTYPE_R8","False","False","True","False","144",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Card","Card","Credit Limit Band","Card (16)","Credit Limit Band (87)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","17202",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Card","Card","Credit Limit Band Sort","Card (16)","Credit Limit Band Sort (88)","BASIC_DATA","1","DBTYPE_I8","False","False","True","False","1316",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Card","Card","Account Opened","Card (16)","Account Opened (89)","BASIC_DATA","2","DBTYPE_DATE","False","False","True","False","144",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Card","Card","Account Opened Year","Card (16)","Account Opened Year (90)","BASIC_DATA","1","DBTYPE_I8","False","False","True","False","1412",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Card","Card","Cards Issued","Card (16)","Cards Issued (91)","BASIC_DATA","1","DBTYPE_I8","False","False","True","False","1308",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Card","Card","PIN Last Changed","Card (16)","PIN Last Changed (92)","BASIC_DATA","1","DBTYPE_I8","False","False","True","False","1368",,,,,"0","0"
