"query","column","value"
"01_total_spend","[Spend]","73568574.69"
"01_total_spend","[Approved]","1655794"
"01_total_spend","[Declines]","26846"
"02_spend_by_year","Date[Year]","2010"
"02_spend_by_year","[Spend]","7040347.25"
"02_spend_by_year","[Approved]","155629"
"02_spend_by_year","Date[Year]","2011"
"02_spend_by_year","[Spend]","7272900.63"
"02_spend_by_year","[Approved]","162545"
"02_spend_by_year","Date[Year]","2012"
"02_spend_by_year","[Spend]","7416433.65"
"02_spend_by_year","[Approved]","166788"
"02_spend_by_year","Date[Year]","2013"
"02_spend_by_year","[Spend]","7539588.86"
"02_spend_by_year","[Approved]","169392"
"02_spend_by_year","Date[Year]","2014"
"02_spend_by_year","[Spend]","7504211.93"
"02_spend_by_year","[Approved]","169210"
"02_spend_by_year","Date[Year]","2015"
"02_spend_by_year","[Spend]","7640437.69"
"02_spend_by_year","[Approved]","171319"
"02_spend_by_year","Date[Year]","2016"
"02_spend_by_year","[Spend]","7636707.95"
"02_spend_by_year","[Approved]","171742"
"02_spend_by_year","Date[Year]","2017"
"02_spend_by_year","[Spend]","7606150.84"
"02_spend_by_year","[Approved]","173101"
"02_spend_by_year","Date[Year]","2018"
"02_spend_by_year","[Spend]","7627792.83"
"02_spend_by_year","[Approved]","172434"
"02_spend_by_year","Date[Year]","2019"
"02_spend_by_year","[Spend]","6284003.06"
"02_spend_by_year","[Approved]","143634"
"03_spend_by_channel","Channel[Channel]","Swipe"
"03_spend_by_channel","[Spend]","36846253.86"
"03_spend_by_channel","[Txn]","867467"
"03_spend_by_channel","Channel[Channel]","Chip"
"03_spend_by_channel","[Spend]","25744000.44"
"03_spend_by_channel","[Txn]","623352"
"03_spend_by_channel","Channel[Channel]","Online"
"03_spend_by_channel","[Spend]","10978320.39"
"03_spend_by_channel","[Txn]","191821"
"04_spend_by_category","Merchant Category[Merchant Category]","Heating, Plumbing, Air Conditioning Contractors"
"04_spend_by_category","[Spend]","69034.88"
"04_spend_by_category","[Txn]","440"
"04_spend_by_category","Merchant Category[Merchant Category]","Steelworks"
"04_spend_by_category","[Spend]","292973"
"04_spend_by_category","[Txn]","399"
"04_spend_by_category","Merchant Category[Merchant Category]","Steel Products Manufacturing"
