"DATABASE_NAME","CUBE_NAME","MEASURE_GROUP_NAME","PARTITION_NAME","DIMENSION_NAME","TABLE_ID","COLUMN_ID","SEGMENT_NUMBER","TABLE_PARTITION_NUMBER","RECORDS_COUNT","ALLOCATED_SIZE","USED_SIZE","COMPRESSION_TYPE","BITS_COUNT","BOOKMARK_BITS_COUNT","VERTIPAQ_STATE","ISPAGEABLE","ISRESIDENT","TEMPERATURE","LAST_ACCESSED"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","Date","Date (10)","RowNumber 2662979B 1795 4F74 8F37 6A1BA8059B61 (11)","0","0","3591","128","128","C123","0","0","SKIPPED",,,,
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","Date","Date (10)","Date (48)","0","0","3591","5880","5880","NOSPLIT","12","0","SKIPPED",,,,
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","Date","Date (10)","Year (49)","0","0","3591","1776","1776","NOSPLIT","4","1","COMPLETED",,,,
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","Date","Date (10)","Quarter (50)","0","0","3591","280","280","NOSPLIT","2","14","COMPLETED",,,,
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","Date","Date (10)","Quarter Year (51)","0","0","3591","2784","2784","NOSPLIT","6","3","COMPLETED",,,,
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","Date","Date (10)","Quarter Year Sort (52)","0","0","3591","2784","2784","NOSPLIT","6","3","COMPLETED",,,,
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","Date","Date (10)","Month No (53)","0","0","3591","800","800","NOSPLIT","4","12","COMPLETED",,,,
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","Date","Date (10)","Month (54)","0","0","3591","800","800","NOSPLIT","4","12","COMPLETED",,,,
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","Date","Date (10)","Month Short (55)","0","0","3591","800","800","NOSPLIT","4","12","COMPLETED",,,,
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","Date","Date (10)","Month Year (56)","0","0","3591","3328","3328","NOSPLIT","7","0","COMPLETED",,,,
