"DATABASE_NAME","CUBE_NAME","MEASURE_GROUP_NAME","DIMENSION_NAME","TABLE_ID","TABLE_PARTITIONS_COUNT","HINT_TABLE_TYPE","ROWS_COUNT","RIVIOLATION_COUNT"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Date","Date","Date (10)","1","AUTOMATIC","3591","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Client","Client","Client (13)","1","AUTOMATIC","160","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Card","Card","Card (16)","1","AUTOMATIC","640","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Merchant Category","Merchant Category","Merchant Category (19)","1","AUTOMATIC","109","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Channel","Channel","Channel (22)","1","AUTOMATIC","3","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Outcome","Outcome","Outcome (25)","1","AUTOMATIC","9","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Geography","Geography","Geography (28)","1","AUTOMATIC","125","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Fraud Status","Fraud Status","Fraud Status (31)","1","AUTOMATIC","3","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions","Transactions (34)","10","AUTOMATIC","1682640","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Metrics","Metrics","Metrics (37)","1","AUTOMATIC","0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions","R$Transactions (34)$Category to Transactions (43)","1","AUTOMATIC","112","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions","R$Transactions (34)$Outcome to Transactions (45)","1","AUTOMATIC","12","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions","R$Transactions (34)$Geography to Transactions (46)","1","AUTOMATIC","128","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions","R$Transactions (34)$Channel to Transactions (44)","1","AUTOMATIC","6","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions","R$Transactions (34)$Client to Transactions (41)","1","AUTOMATIC","163","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions","R$Transactions (34)$Date to Transactions (40)","1","AUTOMATIC","3594","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions","R$Transactions (34)$Fraud to Transactions (47)","1","AUTOMATIC","6","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions","R$Transactions (34)$Card to Transactions (42)","1","AUTOMATIC","578","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Channel","Channel","H$Channel (22)$Presentment (99)","1","AUTOMATIC","5","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Channel","Channel","H$Channel (22)$Channel Sort (98)","1","AUTOMATIC","6","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Channel","Channel","H$Channel (22)$Channel Key (96)","1","AUTOMATIC","6","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Outcome","Outcome","H$Outcome (25)$Outcome Sort (102)","1","AUTOMATIC","12","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Outcome","Outcome","H$Outcome (25)$Outcome Class (103)","1","AUTOMATIC","9","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Outcome","Outcome","H$Outcome (25)$Is Approved (104)","1","AUTOMATIC","5","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Outcome","Outcome","H$Outcome (25)$Outcome Key (100)","1","AUTOMATIC","12","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Channel","Channel","H$Channel (22)$Channel (97)","1","AUTOMATIC","6","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Outcome","Outcome","H$Outcome (25)$Outcome (101)","1","AUTOMATIC","12","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Fraud Status","Fraud Status","H$Fraud Status (31)$Is Fraud (114)","1","AUTOMATIC","5","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Fraud Status","Fraud Status","H$Fraud Status (31)$Fraud Key (110)","1","AUTOMATIC","6","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Fraud Status","Fraud Status","H$Fraud Status (31)$Is Labelled (113)","1","AUTOMATIC","5","0"
